LM Description,Part#,LM Revision,Qty Per Car,U/M,L/T Wks,Make,System Group,ABC by System,ABC % by System,ABC  by Part,ABC Running $'s by Part,%total $ by part,LM/Prep,Supplier #1,Description Supplier #1,P/N Supp#1,U/M,MOQ #1,Supplier #2,Description Supplier #2,P/N Supp#2,MOQ #2,L/T#2,Supplier #3,Description Supplier #3,P/N Supp#3,MOQ #3,Specifications,Weight (lbs.),X weight
Lube O-ring 4 oz,209515,A,0.10,EA,1.0,,AC,B,2%,,"$64,202",100%,,AAPAK,,,EA,,,,,,,,,,,,,
O-Ring (20 pack Green HNBR),MT0250,A,1.00,EA,1.0,,AC,B,2%,,"$64,202",100%,,AAPAK,,,EA,,,,,,,,,,,,,
AZ Air Kit price on Braze hoses from parts provided & add hosing & components to complete kit,RF-ACLineBrazeKit,A,1.00,EA,2.0,,AC,,,,,,,AZ Air,,,EA,5,,,,,,,,,,,,
AC Inside bulk Head lines High pressure ,RF-ACHighPressLine-Inside,A,1.00,EA,1.0,,AC,,,,,,,AZ Air,,,EA,5,,,,,,,,,,,,
AC Inside Bulk Head line Low Pressure ,RF-ACLowPressLine-Inside ,A,1.00,EA,1.0,,AC,,,,,,,AZ Air,,,EA,5,,,,,,,,,,,,
AC Liquid Line    (Dodge Challenger) ,55111273AB,A,1.00,Ea,2.0,Dodge,AC,,,,,,,Chapman Dodge,AC Liquid Line    (Dodge Challenger) ,55111273AB,EA,1,,,,,,,,,,,,
AC Discharge Line   (Dodge Challenger) ,4596611AD,A,1.00,Ea,2.0,Dodge,AC,,,,,,,Chapman Dodge,AC Discharge Line   (Dodge Challenger) ,4596611AD,EA,1,,,,,,,,,,,,
"Louver, Double Vane Black",8L3Z-19893-AA,A,4.00,EA,2.0,Ford,AC,,,,,,,Chapman Ford,AC Louvre,8L3Z-19893-AA,EA,1,Ford Component ,,,,,,,,,,,
Fan Switch,4K754,A,1.00,EA,10.0,,AC,,,,,,,Koch Sales,Rotorary Switch (W/ Nut),4K754,EA,100,,,,,,,,,,,,
Defrost Vent,RF-DefrostVent,A,1.00,Ea,2.0,,AC,Vintage Air,,,,,,KPAK,Defrost Vent,RF-DefrostVent,EA,50,Vintage Air,492076-PME,,,,,,,,,,
